Order_ID,Date,Customer_ID,Product,Category,Quantity,Price,Discount,Region,Payment_Method,Customer_Segment,Shipping_Method,Revenue
1,2022-04-13,CUST1759,Smartwatch,Electronics,1.0,745.0,0.15,East,Online Wallet,Consumer,Same Day,633.25
2,2023-03-12,CUST1776,Camera,Accessories,17.0,1066.0,0.0,West,Credit Card,Corporate,First Class,18122.0
3,2022-09-28,CUST1726,Headphones,Accessories,4.0,379.0,0.15,South,Debit Card,Home Office,Same Day,1288.6
4,2022-04-17,CUST1200,Tablet,Office Supplies,5.0,709.0,0.1,East,Cash,Small Business,Same Day,3190.5
5,2022-03-13,CUST1079,Tablet,Accessories,7.0,1690.0,0.05,North,Online Wallet,Consumer,First Class,11238.5
6,2023-12-02,CUST1173,Headphones,Accessories,10.0,1120.0,0.2,South,Cash,Consumer,First Class,8960.0
7,2022-01-21,CUST1467,Smartwatch,Electronics,17.0,648.0,0.2,East,Bank Transfer,Consumer,Standard Class,8812.800000000001
8,2023-09-07,CUST1581,Printer,Electronics,7.0,870.0,0.0,West,Online Wallet,Home Office,Same Day,6090.0
9,2022-05-02,CUST1416,Headphones,Office Supplies,1.0,690.0,0.0,South,Debit Card,Corporate,First Class,690.0
10,2023-04-12,CUST1449,Smartwatch,Office Supplies,7.0,1843.0,0.2,North,Cash,Corporate,Second Class,10320.800000000001
11,2022-08-03,CUST1087,Smartphone,Accessories,11.0,363.0,0.0,South,Credit Card,Home Office,Standard Class,3993.0
12,2022-11-27,CUST1101,Headphones,Electronics,9.0,1220.0,0.05,West,Credit Card,Consumer,Same Day,10431.0
13,2023-04-04,CUST1008,Smartwatch,Office Supplies,12.0,511.0,0.1,North,Credit Card,Home Office,First Class,5518.8
14,2022-03-29,CUST1200,Headphones,Office Supplies,3.0,1657.0,0.1,West,Online Wallet,Home Office,Standard Class,4473.900000000001
15,2023-01-08,CUST1505,Headphones,Office Supplies,4.0,535.0,0.15,East,Debit Card,Corporate,Standard Class,1819.0
16,2022-04-10,CUST1087,,Accessories,4.0,1725.0,0.05,South,Debit Card,Home Office,Second Class,6555.0
17,2023-10-26,CUST1043,Printer,Electronics,13.0,459.0,0.0,West,Debit Card,Home Office,Standard Class,5967.0
18,2022-05-11,CUST1385,Smartwatch,Office Supplies,19.0,76.0,0.0,East,Cash,Consumer,Same Day,1444.0
19,2023-10-24,CUST1621,Smartwatch,Electronics,10.0,1102.0,0.15,North,Online Wallet,Small Business,First Class,9367.0
20,2022-11-05,CUST1435,Laptop,Office Supplies,5.0,320.0,0.15,North,Credit Card,Consumer,Standard Class,1360.0
21,2022-12-10,CUST1408,Headphones,Office Supplies,7.0,735.0,0.0,East,Cash,Corporate,Standard Class,5145.0
22,2023-05-07,CUST1483,Tablet,Electronics,16.0,550.0,0.0,East,Debit Card,Small Business,Same Day,8800.0
23,2023-02-18,CUST1664,Headphones,Electronics,1.0,1326.0,0.05,North,Credit Card,Consumer,Second Class,1259.7
24,2023-01-21,CUST1017,Headphones,Electronics,12.0,434.0,0.15,West,Online Wallet,Home Office,Second Class,4426.8
25,2022-07-11,CUST1645,Smartwatch,Accessories,2.0,109.0,0.05,East,Bank Transfer,Home Office,First Class,207.1
26,2022-10-04,CUST1148,Headphones,Office Supplies,7.0,1180.0,0.0,West,Debit Card,Small Business,Same Day,8260.0
27,2022-06-10,CUST1277,Camera,Accessories,11.0,269.0,0.2,North,Debit Card,Small Business,Second Class,2367.2000000000003
28,2023-04-05,CUST1232,Headphones,Electronics,13.0,1514.0,0.2,West,Debit Card,Home Office,First Class,15745.6
29,2022-11-10,CUST1366,Camera,Office Supplies,2.0,820.0,0.0,West,Debit Card,Corporate,First Class,1640.0
30,2022-01-22,CUST1228,Printer,Accessories,7.0,1956.0,0.15,East,Credit Card,Consumer,Second Class,11638.199999999999
31,2022-09-10,CUST1651,Tablet,Office Supplies,15.0,1731.0,0.2,West,Online Wallet,Home Office,Same Day,20772.0
32,2023-07-15,CUST1436,Smartwatch,Accessories,11.0,613.0,0.15,West,Cash,Consumer,Standard Class,5731.55
33,2023-04-20,CUST1399,Headphones,Electronics,2.0,1645.0,0.2,West,Credit Card,Consumer,Second Class,2632.0
34,2022-02-28,CUST1211,Camera,Accessories,7.0,595.0,0.15,North,Online Wallet,Consumer,Standard Class,3540.25
35,2023-05-26,CUST1391,Camera,Office Supplies,4.0,145.0,0.2,North,Cash,Consumer,Standard Class,464.0
36,2023-11-13,CUST1499,Printer,Office Supplies,11.0,1038.0,0.15,South,Debit Card,Corporate,Same Day,9705.3
37,2023-04-21,CUST1540,Camera,Office Supplies,2.0,1162.0,0.05,North,Online Wallet,Corporate,Same Day,2207.7999999999997
38,2023-12-01,CUST1563,Smartphone,Office Supplies,16.0,877.0,0.15,North,Debit Card,Corporate,First Class,11927.199999999999
39,2022-07-09,CUST1491,Laptop,Electronics,7.0,1995.0,0.05,South,Online Wallet,Home Office,Same Day,13266.75
40,2023-11-18,CUST1442,Tablet,Accessories,13.0,280.0,0.05,South,Bank Transfer,Home Office,First Class,3458.0
41,2023-07-17,CUST1261,Printer,Electronics,5.0,1017.0,0.0,East,Debit Card,Home Office,Second Class,5085.0
42,2023-07-21,CUST1773,Printer,Electronics,17.0,324.0,0.05,East,Debit Card,Corporate,Standard Class,5232.599999999999
43,2022-09-01,CUST1350,Headphones,Electronics,12.0,295.0,0.1,North,Debit Card,Consumer,Same Day,3186.0
44,2023-05-20,CUST1352,Smartphone,Office Supplies,19.0,160.0,0.05,West,Credit Card,Corporate,Second Class,2888.0
45,2022-05-11,CUST1520,Headphones,Office Supplies,7.0,283.0,0.15,East,Cash,Home Office,First Class,1683.85
46,2023-04-30,CUST1320,Headphones,Office Supplies,6.0,1351.0,0.05,East,Debit Card,Small Business,Same Day,7700.7
47,2023-10-09,CUST1138,Smartwatch,Accessories,8.0,1550.0,0.15,North,Debit Card,Home Office,Standard Class,10540.0
48,2022-01-21,CUST1550,Smartwatch,Office Supplies,13.0,466.0,0.15,West,Credit Card,Consumer,Second Class,5149.3
49,2022-06-16,CUST1623,Smartwatch,Accessories,5.0,727.0,0.1,South,Credit Card,Corporate,Same Day,3271.5
50,2022-10-01,CUST1368,Smartphone,Office Supplies,2.0,1201.0,0.05,South,Bank Transfer,Small Business,Same Day,2281.9
51,2023-01-23,CUST1220,Headphones,Office Supplies,9.0,1310.0,0.05,North,Online Wallet,Small Business,Second Class,11200.5
52,2023-08-24,CUST1337,Laptop,Electronics,11.0,852.0,0.2,North,Debit Card,Consumer,First Class,7497.6
53,2022-11-12,CUST1223,Tablet,Electronics,6.0,668.0,0.2,West,Online Wallet,Corporate,First Class,3206.4
54,2022-01-14,CUST1648,Smartwatch,Electronics,7.0,1201.0,0.0,North,Credit Card,Small Business,Same Day,8407.0
55,2022-08-30,CUST1768,,Accessories,7.0,756.0,0.15,North,Credit Card,Home Office,First Class,4498.2
56,2022-12-12,CUST1360,Printer,Accessories,19.0,900.0,0.1,North,Bank Transfer,Consumer,First Class,15390.0
57,2023-07-19,CUST1329,Headphones,Office Supplies,6.0,1467.0,0.2,West,Cash,Small Business,Second Class,7041.6
58,2022-12-06,CUST1463,Headphones,Accessories,11.0,524.0,0.05,North,Credit Card,Consumer,First Class,5475.8
59,2022-04-02,CUST1561,Smartphone,Office Supplies,11.0,704.0,0.0,East,Debit Card,Corporate,First Class,7744.0
60,2023-01-02,CUST1382,Smartphone,Accessories,7.0,444.0,0.1,West,Bank Transfer,Corporate,Second Class,2797.2000000000003
61,2023-03-31,CUST1590,Smartwatch,Accessories,2.0,160.0,0.05,East,Cash,Corporate,Same Day,304.0
62,2023-03-04,CUST1617,Headphones,Accessories,19.0,139.0,0.05,West,Bank Transfer,Home Office,Same Day,2508.95
63,2023-05-24,CUST1169,Laptop,Electronics,4.0,812.0,0.15,East,Credit Card,Small Business,Second Class,2760.7999999999997
64,2022-02-04,CUST1217,Tablet,Accessories,6.0,1353.0,0.15,West,Cash,Corporate,Standard Class,6900.3
65,2022-07-25,CUST1378,Headphones,Electronics,17.0,1406.0,0.2,South,Online Wallet,Home Office,Second Class,19121.600000000002
66,2022-03-22,CUST1119,Printer,Electronics,5.0,1297.0,0.2,North,Cash,Corporate,Standard Class,5188.0
67,2023-07-16,CUST1190,Headphones,Accessories,7.0,1174.0,0.05,North,Debit Card,Corporate,First Class,7807.099999999999
68,2023-01-23,CUST1767,Camera,Office Supplies,9.0,181.0,0.05,West,Online Wallet,Small Business,Same Day,1547.55
69,2022-01-02,CUST1370,Smartphone,Office Supplies,1.0,1086.0,0.2,East,Online Wallet,Home Office,Standard Class,868.8000000000001
70,2023-01-25,CUST1778,Printer,Office Supplies,1.0,506.0,0.2,South,Debit Card,Corporate,Standard Class,404.8
71,2023-07-20,CUST1149,Tablet,Accessories,19.0,1514.0,0.05,East,Online Wallet,Home Office,First Class,27327.699999999997
72,2022-04-16,CUST1676,Smartwatch,Office Supplies,6.0,147.0,0.1,North,Credit Card,Home Office,Same Day,793.8000000000001
73,2023-04-22,CUST1652,Printer,Electronics,18.0,1193.0,0.05,North,Cash,Corporate,First Class,20400.3
74,2023-12-04,CUST1488,Headphones,Office Supplies,10.0,342.0,0.1,East,Cash,Corporate,Same Day,3078.0
75,2023-02-06,CUST1770,Smartwatch,Accessories,11.0,1889.0,0.1,West,Debit Card,Consumer,Same Day,18701.100000000002
76,2023-12-31,CUST1374,Headphones,Office Supplies,1.0,1784.0,0.05,West,Credit Card,Small Business,First Class,1694.8
77,2023-07-10,CUST1781,Smartwatch,Electronics,1.0,1074.0,0.0,East,Online Wallet,Corporate,Standard Class,1074.0
78,2022-06-11,CUST1693,Tablet,Accessories,13.0,621.0,0.2,North,Cash,Consumer,Second Class,6458.400000000001
79,2022-07-21,CUST1160,Smartphone,Office Supplies,5.0,299.0,0.15,East,Cash,Small Business,Same Day,1270.75
80,2022-09-27,CUST1351,Tablet,Accessories,1.0,701.0,0.05,North,Cash,Corporate,Same Day,665.9499999999999
81,2022-09-28,CUST1288,Camera,Accessories,3.0,198.0,0.1,East,Cash,Home Office,Second Class,534.6
82,2023-04-01,CUST1288,Laptop,Accessories,18.0,1468.0,0.05,West,Bank Transfer,Small Business,Second Class,25102.8
83,2023-04-07,CUST1226,Smartphone,Office Supplies,9.0,93.0,0.2,South,Debit Card,Home Office,First Class,669.6
84,2023-12-28,CUST1523,Tablet,Accessories,14.0,1956.0,0.1,North,Online Wallet,Consumer,Same Day,24645.600000000002
85,2022-09-09,CUST1522,Camera,Office Supplies,17.0,1771.0,0.15,South,Online Wallet,Corporate,First Class,25590.95
86,2023-12-03,CUST1783,Laptop,Electronics,14.0,1693.0,0.15,West,Debit Card,Consumer,Second Class,20146.7
87,2022-10-23,CUST1273,Camera,Office Supplies,4.0,1117.0,0.15,East,Credit Card,Corporate,First Class,3797.7999999999997
88,2023-12-26,CUST1402,Headphones,Electronics,5.0,1151.0,0.0,West,Debit Card,Corporate,Same Day,5755.0
89,2023-12-21,CUST1183,Headphones,Office Supplies,17.0,1299.0,0.1,South,Cash,Home Office,Standard Class,19874.7
90,2022-12-04,CUST1665,Smartwatch,Accessories,2.0,211.0,0.1,West,Cash,Consumer,Standard Class,379.8
91,2022-02-22,CUST1488,Smartphone,Office Supplies,5.0,1866.0,0.0,West,Debit Card,Home Office,Same Day,9330.0
92,2022-08-05,CUST1124,Headphones,Accessories,4.0,302.0,0.1,East,Debit Card,Home Office,First Class,1087.2
93,2022-07-07,CUST1626,Printer,Electronics,4.0,181.0,0.0,South,Online Wallet,Home Office,Second Class,724.0
94,2023-01-15,CUST1790,Camera,Office Supplies,6.0,1521.0,0.05,South,Online Wallet,Consumer,Second Class,8669.699999999999
95,2023-05-08,CUST1414,Smartphone,Accessories,13.0,1957.0,0.2,South,Bank Transfer,Corporate,Standard Class,20352.800000000003
96,2022-02-10,CUST1725,Printer,Electronics,5.0,1960.0,0.15,North,Bank Transfer,Corporate,First Class,8330.0
97,2022-06-06,CUST1172,Headphones,Electronics,7.0,523.0,0.0,West,Cash,Consumer,Second Class,3661.0
98,2022-01-15,CUST1288,Smartwatch,Office Supplies,1.0,1729.0,0.0,South,Bank Transfer,Corporate,Second Class,1729.0
99,2022-03-06,CUST1435,Tablet,Electronics,14.0,1851.0,0.0,West,Bank Transfer,Consumer,Same Day,25914.0
100,2023-06-05,CUST1686,Smartwatch,Accessories,4.0,1182.0,0.05,East,Credit Card,Consumer,First Class,4491.599999999999
101,2022-12-10,CUST1113,Printer,Electronics,17.0,755.0,0.0,East,Debit Card,Corporate,First Class,12835.0
102,2022-05-09,CUST1122,Laptop,Electronics,14.0,1108.0,0.2,North,Online Wallet,Small Business,Second Class,12409.6
103,2023-10-10,CUST1544,Headphones,Accessories,16.0,1540.0,0.2,North,Bank Transfer,Home Office,First Class,19712.0
104,2023-04-17,CUST1222,Printer,Electronics,14.0,1975.0,0.15,East,Online Wallet,Consumer,First Class,23502.5
105,2022-03-04,CUST1631,Laptop,Electronics,16.0,324.0,0.05,South,Bank Transfer,Consumer,First Class,4924.8
106,2022-05-19,CUST1039,Laptop,Electronics,8.0,236.0,0.2,East,Bank Transfer,Small Business,Same Day,1510.4
107,2023-05-14,CUST1497,Camera,Electronics,3.0,998.0,0.1,West,Cash,Consumer,Second Class,2694.6
108,2023-08-16,CUST1780,Smartphone,Accessories,19.0,292.0,0.1,North,Credit Card,Consumer,Standard Class,4993.2
109,2023-01-27,CUST1233,Camera,Electronics,1.0,313.0,0.1,North,Debit Card,Corporate,First Class,281.7
110,2023-11-06,CUST1530,Headphones,Accessories,2.0,571.0,0.0,East,Debit Card,Corporate,Second Class,1142.0
111,2023-02-23,CUST1149,Laptop,Electronics,15.0,1012.0,0.0,South,Cash,Small Business,Standard Class,15180.0
112,2022-10-16,CUST1397,Printer,Electronics,10.0,1751.0,0.1,South,Cash,Consumer,Same Day,15759.0
113,2023-01-14,CUST1661,Tablet,Electronics,18.0,1614.0,0.15,West,Debit Card,Home Office,Second Class,24694.2
114,2023-05-05,CUST1638,Laptop,Electronics,14.0,832.0,0.15,North,Debit Card,Corporate,Same Day,9900.8
115,2022-08-19,CUST1302,Printer,Accessories,17.0,1160.0,0.0,East,Credit Card,Home Office,Second Class,19720.0
116,2022-02-10,CUST1360,Tablet,Accessories,13.0,584.0,0.1,East,Bank Transfer,Home Office,Same Day,6832.8
117,2022-01-28,CUST1238,Camera,Accessories,1.0,259.0,0.15,North,Credit Card,Small Business,Second Class,220.15
118,2022-05-15,CUST1647,Camera,Office Supplies,,95.0,0.0,East,Debit Card,Small Business,Same Day,
119,2022-07-20,CUST1663,Smartphone,Electronics,13.0,1540.0,0.1,North,Bank Transfer,Consumer,Standard Class,18018.0
120,2022-02-02,CUST1236,Printer,Electronics,14.0,,0.05,South,Debit Card,Small Business,Second Class,
121,2022-02-17,CUST1736,Laptop,Accessories,3.0,75.0,0.1,South,Credit Card,Corporate,Standard Class,202.5
122,2023-05-18,CUST1203,Smartwatch,Office Supplies,15.0,1339.0,0.1,East,Credit Card,Consumer,First Class,18076.5
123,2023-02-11,CUST1256,Camera,Electronics,19.0,224.0,0.2,South,,Consumer,Standard Class,3404.8
124,2023-07-28,CUST1598,Camera,Accessories,17.0,1589.0,0.2,South,Bank Transfer,Home Office,Second Class,21610.4
125,2023-12-29,CUST1662,Smartphone,Electronics,3.0,1384.0,0.05,West,Online Wallet,Home Office,Standard Class,3944.3999999999996
126,2022-04-09,CUST1235,Tablet,Electronics,16.0,371.0,0.05,North,Online Wallet,Home Office,Second Class,5639.2
127,2023-11-15,CUST1345,Smartphone,Accessories,14.0,1652.0,0.1,North,Debit Card,Consumer,Same Day,20815.2
128,2023-12-27,CUST1534,Laptop,Accessories,12.0,1208.0,0.15,East,Bank Transfer,Small Business,First Class,12321.6
129,2023-07-01,CUST1797,Printer,Electronics,12.0,104.0,0.05,North,Cash,Small Business,Standard Class,1185.6
130,2023-09-05,CUST1781,Headphones,Electronics,11.0,1616.0,0.1,West,Online Wallet,Small Business,First Class,15998.4
131,2023-04-07,CUST1466,Headphones,Accessories,17.0,1659.0,0.0,East,Bank Transfer,Consumer,Standard Class,28203.0
132,2023-10-05,CUST1770,Printer,Electronics,8.0,1604.0,0.2,East,Bank Transfer,Consumer,Second Class,10265.6
133,2022-01-05,CUST1541,Tablet,Electronics,17.0,1229.0,0.15,North,Online Wallet,Consumer,Standard Class,17759.05
134,2022-08-06,CUST1213,Camera,Accessories,11.0,1922.0,0.1,South,Bank Transfer,Consumer,First Class,19027.8
135,2023-05-18,CUST1463,Tablet,Electronics,2.0,717.0,0.0,South,Bank Transfer,Consumer,Standard Class,1434.0
136,2023-02-02,CUST1436,Camera,Electronics,10.0,196.0,0.2,South,Online Wallet,Small Business,First Class,1568.0
137,2023-01-28,CUST1283,Camera,Office Supplies,10.0,1558.0,0.0,South,Credit Card,Consumer,First Class,15580.0
138,2022-07-26,CUST1562,Headphones,Accessories,11.0,648.0,0.1,West,Debit Card,Small Business,Second Class,6415.2
139,2022-01-15,CUST1607,Tablet,Office Supplies,6.0,69.0,0.05,East,Cash,Consumer,Same Day,393.29999999999995
140,2023-07-08,CUST1463,Smartphone,Office Supplies,4.0,1342.0,0.2,South,Debit Card,Small Business,Same Day,4294.400000000001
141,2023-04-06,CUST1407,Camera,Office Supplies,12.0,382.0,0.0,West,Credit Card,Corporate,Standard Class,4584.0
142,2023-11-22,CUST1088,Smartwatch,Electronics,11.0,1628.0,0.05,East,Credit Card,Corporate,First Class,17012.6
143,2023-07-29,CUST1044,Smartwatch,Electronics,13.0,956.0,0.15,North,Bank Transfer,Small Business,Second Class,10563.8
144,2022-08-29,CUST1461,Smartphone,Office Supplies,5.0,993.0,0.1,North,Debit Card,Corporate,Same Day,4468.5
145,2023-07-18,CUST1278,Smartwatch,Office Supplies,6.0,960.0,0.1,West,Credit Card,Corporate,Second Class,5184.0
146,2022-04-06,CUST1683,Laptop,Office Supplies,1.0,450.0,0.2,East,Debit Card,Small Business,Second Class,360.0
147,2023-04-30,CUST1421,Camera,Electronics,6.0,999.0,0.0,South,Credit Card,Consumer,First Class,5994.0
148,2023-02-11,CUST1701,Smartphone,Office Supplies,18.0,1379.0,0.15,East,Cash,Consumer,Standard Class,21098.7
149,2022-08-19,CUST1353,Tablet,Office Supplies,9.0,77.0,0.2,South,Credit Card,Small Business,First Class,554.4
150,2023-10-17,CUST1696,Camera,Accessories,15.0,516.0,0.2,West,Debit Card,Home Office,Same Day,6192.0
151,2022-06-20,CUST1515,Smartphone,Accessories,8.0,1333.0,0.0,South,Bank Transfer,Home Office,Same Day,10664.0
152,2023-06-25,CUST1703,Headphones,Electronics,19.0,1607.0,0.15,West,Debit Card,Corporate,Second Class,25953.05
153,2022-02-05,CUST1630,Tablet,Accessories,16.0,1031.0,0.0,East,Online Wallet,Home Office,First Class,16496.0
